id,phrasal_verb,example_1,example_2,example_3
51,freshen up,I need a few minutes to freshen up before dinner.,She freshened up and changed into a clean shirt.,Why don't you freshen up after the long flight?
52,check in,We checked in at the hotel around three.,Did you already check in for your flight?,Let's check in before we grab lunch.
53,check out,We have to check out by eleven tomorrow.,She checked out of the hotel early this morning.,Don't forget to check out at the front desk.
54,pick out,Can you help me pick out a gift for my sister?,She picked out a blue dress for the party.,It took him forever to pick out a new phone.
55,get together,Let's get together sometime next week.,Our family gets together every New Year's Day.,We got together for coffee after class.
56,going through,He's going through a difficult breakup right now.,We all go through stressful times sometimes.,She went through a lot last year.
57,put down,Please put down your phone during dinner.,He put down the box by the door.,You can put your bags down over there.
58,try on,"I'd like to try on these boots, please.",She tried on three jackets before choosing one.,Why don't you try the sweater on first?
59,hold on,"Hold on, I can't find my wallet.",Can you hold on for just a second?,She told me to hold on while she checked.
60,give out,The teacher gave out the worksheets quickly.,They were giving out free samples at the station.,I'll give out the name tags before the event starts.
61,pick up,Can you pick up some milk on your way home?,I picked up my package after work.,She'll pick up the kids at five.
62,fell over,Be careful or you'll fall over.,The chair almost fell over in the wind.,He slipped on the ice and fell over.
63,get up,I usually get up at six on weekdays.,She got up quietly so she wouldn't wake the baby.,It's hard to get up on rainy mornings.
64,run out of,We've run out of paper for the printer.,They ran out of gas in the middle of nowhere.,I need to buy rice because we're running out of it.
65,walked out,He walked out before the movie ended.,I couldn't believe she just walked out like that.,The customer got angry and walked out of the store.
66,catch up,I need the weekend to catch up on sleep.,She studied hard to catch up with the rest of the class.,Let's catch up over lunch sometime.
67,work out,I work out three times a week.,She's been working out at a new gym lately.,He started to work out again after summer.
68,turn back,We had to turn back because of the rain.,The hikers turned back before it got dark.,"If we miss the exit, we'll have to turn back."
69,go after,You should go after the job if you really want it.,She went after her goal with confidence.,He's finally ready to go after a bigger dream.
70,stand up,Please stand up when your name is called.,He stood up to stretch his legs.,Could you stand up for a moment?
71,speak up,You need to speak up in the back row.,She spoke up when she heard something unfair.,Please speak up so everyone can hear you.
72,pass on,Can you pass on the message to Mia?,He passed the letter on to his manager.,I'll pass on your thanks to the team.
73,come along,You can come along if you want.,My little brother came along to the park.,Why don't you come along with us tonight?
74,came up,"Sorry, something came up at work.","If anything comes up, call me right away.","A family issue came up, so she had to leave."
75,stands out,Her bright red coat really stands out.,One student stood out from the rest.,This design stands out in a good way.
76,go over to,We're going over to Ken's house after dinner.,Do you want to go over to their place tomorrow?,I went over to my neighbor's to return a dish.
77,heading to,We're heading to Osaka tomorrow morning.,She headed to the station right after class.,Let's head to the food court first.
78,look around,We looked around the market for souvenirs.,Feel free to look around while you wait.,They spent the afternoon looking around town.
79,get through,You'll get through this busy week somehow.,We got through the presentation without any problems.,She finally got through all her homework.
80,turn in,Make sure you turn in your worksheet before lunch.,He turned in his keys at the front desk.,I forgot to turn in my essay yesterday.
81,get along,Do you get along with your new roommate?,My cousins get along really well.,She gets along with almost everyone at work.
82,fooling around,The boys were fooling around in the hallway.,Stop fooling around and finish your homework.,They spent the afternoon fooling around by the river.
83,give back,Please give back the book when you're done.,She gave the pen back to me after class.,When will you give back my charger?
84,find out,I'll find out what time the movie starts.,She found out the truth last night.,Can you find out if he's available tomorrow?
85,show off,He loves to show off his cooking skills.,She showed off her new sneakers to everyone.,Stop showing off and just play the game.
86,call back,I'll call you back after the meeting.,She called back as soon as she saw the missed call.,Can you call the customer back this afternoon?
87,goes off,My alarm goes off at six every day.,A car alarm went off outside our window.,The smoke detector went off while I was cooking.
88,go with,This jacket goes with almost everything.,Do these shoes go with my dress?,I think the soup goes well with bread.
89,stayed together,They stayed together for many years.,I hope the group can stay together until the end.,My grandparents stayed together through hard times.
90,get around,I usually get around by bike.,It's easy to get around the city by train.,How do tourists get around here?
91,get to,I finally get to relax this weekend.,She got to meet the author in person.,We didn't get to finish the game.
92,listen up,"Listen up, everyone, class is starting.",You should listen up when your coach is talking.,The kids listened up as soon as the teacher raised her voice.
93,stand up,He stood me up again last night.,I can't believe she stood him up on his birthday.,No one wants to get stood up on a first date.
94,see off,We went to the station to see her off.,His friends saw him off at the airport.,I'll come see you off before your flight.
95,meet up,Let's meet up after school.,We met up for brunch on Sunday.,Are you free to meet up later today?
96,look back on,I like to look back on old photos sometimes.,She looked back on her school days with a smile.,"When we look back on this trip, we'll laugh."
97,gave out,My legs gave out near the end of the race.,The old chair finally gave out.,His voice gave out during the speech.
98,pay for,"Don't worry, I'll pay for lunch today.",She paid for the tickets online.,Who is going to pay for the repairs?
99,put up,Can you help me put up these curtains?,They put up a sign in front of the store.,We're putting up shelves in the bedroom this weekend.
100,hang out,We hung out at the park all afternoon.,Do you want to hang out after work?,They usually hang out at that cafe on weekends.
